record_id,source_id,observation_type,species,country,geography,cell_id,longitude,latitude,collection_date,date_precision,year,month,value,unit,sampling_effort,taxonomic_basis,license,reporting_note,model_input_role,time_resolution,aggregation_level,observation_denominator,effort_hours,count_semantics,monthly_expansion,disease_endpoint
gbif_3444441264,GBIF:1e09d985-8f58-4a34-ab86-17e55f203c8a,occurrence,Aedes albopictus,South Korea,South Korea,r182c1231,127.956027,38.171649,2008-07-22,day,2008,7,1,presence,,"GBIF acceptedScientificName=Aedes albopictus (Skuse, 1894); source-reported human observation; GBIF taxon and occurrence fields screened",http://creativecommons.org/publicdomain/zero/1.0/legalcode,GBIF occurrence key=3444441264; occurrenceID=NIEK-NES-INS-005000000001172850; datasetKey=1e09d985-8f58-4a34-ab86-17e55f203c8a; datasetTitle=niek_2022; occurrenceStatus=PRESENT; basisOfRecord=HUMAN_OBSERVATION; identifiedBy=not reported; recordedBy=not reported; locality=not reported; exact_grid_join=r182c1231; sampling effort not reported; occurrence-only presence record; not a trap-abundance denominator.,presence_only_occurrence,monthly_presence_record,source_record,not_reported,,presence_only_not_count,not_applicable,not disease risk or incidence
gbif_3444167075,GBIF:1e09d985-8f58-4a34-ab86-17e55f203c8a,occurrence,Aedes albopictus,South Korea,South Korea,r191c1234,128.679872,35.810711,2012-08-21,day,2012,8,1,presence,,"GBIF acceptedScientificName=Aedes albopictus (Skuse, 1894); source-reported human observation; GBIF taxon and occurrence fields screened",http://creativecommons.org/publicdomain/zero/1.0/legalcode,GBIF occurrence key=3444167075; occurrenceID=NIEK-NES-INS-005000000001265901; datasetKey=1e09d985-8f58-4a34-ab86-17e55f203c8a; datasetTitle=niek_2022; occurrenceStatus=PRESENT; basisOfRecord=HUMAN_OBSERVATION; identifiedBy=not reported; recordedBy=not reported; locality=not reported; exact_grid_join=r191c1234; sampling effort not reported; occurrence-only presence record; not a trap-abundance denominator.,presence_only_occurrence,monthly_presence_record,source_record,not_reported,,presence_only_not_count,not_applicable,not disease risk or incidence
gbif_3444248348,GBIF:1e09d985-8f58-4a34-ab86-17e55f203c8a,occurrence,Aedes albopictus,South Korea,South Korea,,126.363056,34.468056,2016-07-27,day,2016,7,1,presence,,"GBIF acceptedScientificName=Aedes albopictus (Skuse, 1894); source-reported human observation; GBIF taxon and occurrence fields screened",http://creativecommons.org/publicdomain/zero/1.0/legalcode,GBIF occurrence key=3444248348; occurrenceID=NIEK-NES-INS-005000000001480846; datasetKey=1e09d985-8f58-4a34-ab86-17e55f203c8a; datasetTitle=niek_2022; occurrenceStatus=PRESENT; basisOfRecord=HUMAN_OBSERVATION; identifiedBy=not reported; recordedBy=not reported; locality=not reported; exact_grid_join=no exact cell intersection; sampling effort not reported; occurrence-only presence record; not a trap-abundance denominator.,presence_only_occurrence,monthly_presence_record,source_record,not_reported,,presence_only_not_count,not_applicable,not disease risk or incidence
gbif_3444558638,GBIF:1e09d985-8f58-4a34-ab86-17e55f203c8a,occurrence,Aedes albopictus,South Korea,South Korea,r196c1226,126.689853,34.590317,2016-08-02,day,2016,8,1,presence,,"GBIF acceptedScientificName=Aedes albopictus (Skuse, 1894); source-reported human observation; GBIF taxon and occurrence fields screened",http://creativecommons.org/publicdomain/zero/1.0/legalcode,GBIF occurrence key=3444558638; occurrenceID=NIEK-NES-INS-005000000001408409; datasetKey=1e09d985-8f58-4a34-ab86-17e55f203c8a; datasetTitle=niek_2022; occurrenceStatus=PRESENT; basisOfRecord=HUMAN_OBSERVATION; identifiedBy=not reported; recordedBy=not reported; locality=not reported; exact_grid_join=r196c1226; sampling effort not reported; occurrence-only presence record; not a trap-abundance denominator.,presence_only_occurrence,monthly_presence_record,source_record,not_reported,,presence_only_not_count,not_applicable,not disease risk or incidence
gbif_3444600177,GBIF:1e09d985-8f58-4a34-ab86-17e55f203c8a,occurrence,Aedes albopictus,South Korea,South Korea,r196c1227,126.859608,34.720547,2016-08-28,day,2016,8,1,presence,,"GBIF acceptedScientificName=Aedes albopictus (Skuse, 1894); source-reported human observation; GBIF taxon and occurrence fields screened",http://creativecommons.org/publicdomain/zero/1.0/legalcode,GBIF occurrence key=3444600177; occurrenceID=NIEK-NES-INS-005000000001425494; datasetKey=1e09d985-8f58-4a34-ab86-17e55f203c8a; datasetTitle=niek_2022; occurrenceStatus=PRESENT; basisOfRecord=HUMAN_OBSERVATION; identifiedBy=not reported; recordedBy=not reported; locality=not reported; exact_grid_join=r196c1227; sampling effort not reported; occurrence-only presence record; not a trap-abundance denominator.,presence_only_occurrence,monthly_presence_record,source_record,not_reported,,presence_only_not_count,not_applicable,not disease risk or incidence
gbif_3444603179,GBIF:1e09d985-8f58-4a34-ab86-17e55f203c8a,occurrence,Aedes albopictus,South Korea,South Korea,,126.363056,34.468056,2016-10-11,day,2016,10,1,presence,,"GBIF acceptedScientificName=Aedes albopictus (Skuse, 1894); source-reported human observation; GBIF taxon and occurrence fields screened",http://creativecommons.org/publicdomain/zero/1.0/legalcode,GBIF occurrence key=3444603179; occurrenceID=NIEK-NES-INS-005000000001480746; datasetKey=1e09d985-8f58-4a34-ab86-17e55f203c8a; datasetTitle=niek_2022; occurrenceStatus=PRESENT; basisOfRecord=HUMAN_OBSERVATION; identifiedBy=not reported; recordedBy=not reported; locality=not reported; exact_grid_join=no exact cell intersection; sampling effort not reported; occurrence-only presence record; not a trap-abundance denominator.,presence_only_occurrence,monthly_presence_record,source_record,not_reported,,presence_only_not_count,not_applicable,not disease risk or incidence
gbif_3444189505,GBIF:1e09d985-8f58-4a34-ab86-17e55f203c8a,occurrence,Aedes albopictus,South Korea,South Korea,r185c1229,127.319444,37.275556,2017-07-22,day,2017,7,1,presence,,"GBIF acceptedScientificName=Aedes albopictus (Skuse, 1894); source-reported human observation; GBIF taxon and occurrence fields screened",http://creativecommons.org/publicdomain/zero/1.0/legalcode,GBIF occurrence key=3444189505; occurrenceID=NIEK-NES-INS-005000000001328625; datasetKey=1e09d985-8f58-4a34-ab86-17e55f203c8a; datasetTitle=niek_2022; occurrenceStatus=PRESENT; basisOfRecord=HUMAN_OBSERVATION; identifiedBy=not reported; recordedBy=not reported; locality=not reported; exact_grid_join=r185c1229; sampling effort not reported; occurrence-only presence record; not a trap-abundance denominator.,presence_only_occurrence,monthly_presence_record,source_record,not_reported,,presence_only_not_count,not_applicable,not disease risk or incidence
gbif_3444205884,GBIF:1e09d985-8f58-4a34-ab86-17e55f203c8a,occurrence,Aedes albopictus,South Korea,South Korea,r185c1227,126.848333,37.340556,2017-07-23,day,2017,7,1,presence,,"GBIF acceptedScientificName=Aedes albopictus (Skuse, 1894); source-reported human observation; GBIF taxon and occurrence fields screened",http://creativecommons.org/publicdomain/zero/1.0/legalcode,GBIF occurrence key=3444205884; occurrenceID=NIEK-NES-INS-005000000001361454; datasetKey=1e09d985-8f58-4a34-ab86-17e55f203c8a; datasetTitle=niek_2022; occurrenceStatus=PRESENT; basisOfRecord=HUMAN_OBSERVATION; identifiedBy=not reported; recordedBy=not reported; locality=not reported; exact_grid_join=r185c1227; sampling effort not reported; occurrence-only presence record; not a trap-abundance denominator.,presence_only_occurrence,monthly_presence_record,source_record,not_reported,,presence_only_not_count,not_applicable,not disease risk or incidence
gbif_3444195285,GBIF:1e09d985-8f58-4a34-ab86-17e55f203c8a,occurrence,Aedes albopictus,South Korea,South Korea,r185c1228,127.187500,37.368889,2017-08-20,day,2017,8,1,presence,,"GBIF acceptedScientificName=Aedes albopictus (Skuse, 1894); source-reported human observation; GBIF taxon and occurrence fields screened",http://creativecommons.org/publicdomain/zero/1.0/legalcode,GBIF occurrence key=3444195285; occurrenceID=NIEK-NES-INS-005000000001374297; datasetKey=1e09d985-8f58-4a34-ab86-17e55f203c8a; datasetTitle=niek_2022; occurrenceStatus=PRESENT; basisOfRecord=HUMAN_OBSERVATION; identifiedBy=not reported; recordedBy=not reported; locality=not reported; exact_grid_join=r185c1228; sampling effort not reported; occurrence-only presence record; not a trap-abundance denominator.,presence_only_occurrence,monthly_presence_record,source_record,not_reported,,presence_only_not_count,not_applicable,not disease risk or incidence
gbif_3444211021,GBIF:1e09d985-8f58-4a34-ab86-17e55f203c8a,occurrence,Aedes albopictus,South Korea,South Korea,r186c1228,127.188611,37.214444,2017-08-19,day,2017,8,1,presence,,"GBIF acceptedScientificName=Aedes albopictus (Skuse, 1894); source-reported human observation; GBIF taxon and occurrence fields screened",http://creativecommons.org/publicdomain/zero/1.0/legalcode,GBIF occurrence key=3444211021; occurrenceID=NIEK-NES-INS-005000000001391452; datasetKey=1e09d985-8f58-4a34-ab86-17e55f203c8a; datasetTitle=niek_2022; occurrenceStatus=PRESENT; basisOfRecord=HUMAN_OBSERVATION; identifiedBy=not reported; recordedBy=not reported; locality=not reported; exact_grid_join=r186c1228; sampling effort not reported; occurrence-only presence record; not a trap-abundance denominator.,presence_only_occurrence,monthly_presence_record,source_record,not_reported,,presence_only_not_count,not_applicable,not disease risk or incidence
gbif_3444222652,GBIF:1e09d985-8f58-4a34-ab86-17e55f203c8a,occurrence,Aedes albopictus,South Korea,South Korea,r186c1229,127.439444,37.156667,2017-08-14,day,2017,8,1,presence,,"GBIF acceptedScientificName=Aedes albopictus (Skuse, 1894); source-reported human observation; GBIF taxon and occurrence fields screened",http://creativecommons.org/publicdomain/zero/1.0/legalcode,GBIF occurrence key=3444222652; occurrenceID=NIEK-NES-INS-005000000001360327; datasetKey=1e09d985-8f58-4a34-ab86-17e55f203c8a; datasetTitle=niek_2022; occurrenceStatus=PRESENT; basisOfRecord=HUMAN_OBSERVATION; identifiedBy=not reported; recordedBy=not reported; locality=not reported; exact_grid_join=r186c1229; sampling effort not reported; occurrence-only presence record; not a trap-abundance denominator.,presence_only_occurrence,monthly_presence_record,source_record,not_reported,,presence_only_not_count,not_applicable,not disease risk or incidence
gbif_3444563241,GBIF:1e09d985-8f58-4a34-ab86-17e55f203c8a,occurrence,Aedes albopictus,South Korea,South Korea,r185c1229,127.450278,37.337222,2017-08-13,day,2017,8,1,presence,,"GBIF acceptedScientificName=Aedes albopictus (Skuse, 1894); source-reported human observation; GBIF taxon and occurrence fields screened",http://creativecommons.org/publicdomain/zero/1.0/legalcode,GBIF occurrence key=3444563241; occurrenceID=NIEK-NES-INS-005000000001477264; datasetKey=1e09d985-8f58-4a34-ab86-17e55f203c8a; datasetTitle=niek_2022; occurrenceStatus=PRESENT; basisOfRecord=HUMAN_OBSERVATION; identifiedBy=not reported; recordedBy=not reported; locality=not reported; exact_grid_join=r185c1229; sampling effort not reported; occurrence-only presence record; not a trap-abundance denominator.,presence_only_occurrence,monthly_presence_record,source_record,not_reported,,presence_only_not_count,not_applicable,not disease risk or incidence
gbif_3444604802,GBIF:1e09d985-8f58-4a34-ab86-17e55f203c8a,occurrence,Aedes albopictus,South Korea,South Korea,r185c1227,126.934167,37.410278,2017-08-18,day,2017,8,1,presence,,"GBIF acceptedScientificName=Aedes albopictus (Skuse, 1894); source-reported human observation; GBIF taxon and occurrence fields screened",http://creativecommons.org/publicdomain/zero/1.0/legalcode,GBIF occurrence key=3444604802; occurrenceID=NIEK-NES-INS-005000000001521388; datasetKey=1e09d985-8f58-4a34-ab86-17e55f203c8a; datasetTitle=niek_2022; occurrenceStatus=PRESENT; basisOfRecord=HUMAN_OBSERVATION; identifiedBy=not reported; recordedBy=not reported; locality=not reported; exact_grid_join=r185c1227; sampling effort not reported; occurrence-only presence record; not a trap-abundance denominator.,presence_only_occurrence,monthly_presence_record,source_record,not_reported,,presence_only_not_count,not_applicable,not disease risk or incidence
gbif_1993781325,GBIF:50c9509d-22c7-4a22-a47d-8c48425ef4a7,occurrence,Aedes albopictus,South Korea,South Korea,r184c1228,127.036177,37.704782,2017-09-02,day,2017,9,1,presence,,"GBIF acceptedScientificName=Aedes albopictus (Skuse, 1894); source-reported human observation; GBIF taxon and occurrence fields screened",http://creativecommons.org/licenses/by-nc/4.0/legalcode,GBIF occurrence key=1993781325; occurrenceID=https://www.inaturalist.org/observations/8008970; datasetKey=50c9509d-22c7-4a22-a47d-8c48425ef4a7; datasetTitle=iNaturalist Research-grade Observations; occurrenceStatus=PRESENT; basisOfRecord=HUMAN_OBSERVATION; identifiedBy=Paul B.; recordedBy=Paul B.; locality=not reported; exact_grid_join=r184c1228; sampling effort not reported; occurrence-only presence record; not a trap-abundance denominator.,presence_only_occurrence,monthly_presence_record,source_record,not_reported,,presence_only_not_count,not_applicable,not disease risk or incidence
gbif_3444234049,GBIF:1e09d985-8f58-4a34-ab86-17e55f203c8a,occurrence,Aedes albopictus,South Korea,South Korea,r186c1237,129.305183,37.217278,2018-05-26,day,2018,5,1,presence,,"GBIF acceptedScientificName=Aedes albopictus (Skuse, 1894); source-reported human observation; GBIF taxon and occurrence fields screened",http://creativecommons.org/publicdomain/zero/1.0/legalcode,GBIF occurrence key=3444234049; occurrenceID=NIEK-NES-INS-005000000001395086; datasetKey=1e09d985-8f58-4a34-ab86-17e55f203c8a; datasetTitle=niek_2022; occurrenceStatus=PRESENT; basisOfRecord=HUMAN_OBSERVATION; identifiedBy=not reported; recordedBy=not reported; locality=not reported; exact_grid_join=r186c1237; sampling effort not reported; occurrence-only presence record; not a trap-abundance denominator.,presence_only_occurrence,monthly_presence_record,source_record,not_reported,,presence_only_not_count,not_applicable,not disease risk or incidence
gbif_3444550755,GBIF:1e09d985-8f58-4a34-ab86-17e55f203c8a,occurrence,Aedes albopictus,South Korea,South Korea,r185c1236,129.159725,37.440614,2018-05-27,day,2018,5,1,presence,,"GBIF acceptedScientificName=Aedes albopictus (Skuse, 1894); source-reported human observation; GBIF taxon and occurrence fields screened",http://creativecommons.org/publicdomain/zero/1.0/legalcode,GBIF occurrence key=3444550755; occurrenceID=NIEK-NES-INS-005000000001438080; datasetKey=1e09d985-8f58-4a34-ab86-17e55f203c8a; datasetTitle=niek_2022; occurrenceStatus=PRESENT; basisOfRecord=HUMAN_OBSERVATION; identifiedBy=not reported; recordedBy=not reported; locality=not reported; exact_grid_join=r185c1236; sampling effort not reported; occurrence-only presence record; not a trap-abundance denominator.,presence_only_occurrence,monthly_presence_record,source_record,not_reported,,presence_only_not_count,not_applicable,not disease risk or incidence
gbif_3444207203,GBIF:1e09d985-8f58-4a34-ab86-17e55f203c8a,occurrence,Aedes albopictus,South Korea,South Korea,r186c1237,129.343144,37.236550,2018-06-24,day,2018,6,1,presence,,"GBIF acceptedScientificName=Aedes albopictus (Skuse, 1894); source-reported human observation; GBIF taxon and occurrence fields screened",http://creativecommons.org/publicdomain/zero/1.0/legalcode,GBIF occurrence key=3444207203; occurrenceID=NIEK-NES-INS-005000000001395138; datasetKey=1e09d985-8f58-4a34-ab86-17e55f203c8a; datasetTitle=niek_2022; occurrenceStatus=PRESENT; basisOfRecord=HUMAN_OBSERVATION; identifiedBy=not reported; recordedBy=not reported; locality=not reported; exact_grid_join=r186c1237; sampling effort not reported; occurrence-only presence record; not a trap-abundance denominator.,presence_only_occurrence,monthly_presence_record,source_record,not_reported,,presence_only_not_count,not_applicable,not disease risk or incidence
gbif_3444217233,GBIF:1e09d985-8f58-4a34-ab86-17e55f203c8a,occurrence,Aedes albopictus,South Korea,South Korea,r185c1236,129.217847,37.313336,2018-06-25,day,2018,6,1,presence,,"GBIF acceptedScientificName=Aedes albopictus (Skuse, 1894); source-reported human observation; GBIF taxon and occurrence fields screened",http://creativecommons.org/publicdomain/zero/1.0/legalcode,GBIF occurrence key=3444217233; occurrenceID=NIEK-NES-INS-005000000001395484; datasetKey=1e09d985-8f58-4a34-ab86-17e55f203c8a; datasetTitle=niek_2022; occurrenceStatus=PRESENT; basisOfRecord=HUMAN_OBSERVATION; identifiedBy=not reported; recordedBy=not reported; locality=not reported; exact_grid_join=r185c1236; sampling effort not reported; occurrence-only presence record; not a trap-abundance denominator.,presence_only_occurrence,monthly_presence_record,source_record,not_reported,,presence_only_not_count,not_applicable,not disease risk or incidence
gbif_3444232188,GBIF:1e09d985-8f58-4a34-ab86-17e55f203c8a,occurrence,Aedes albopictus,South Korea,South Korea,,129.256672,37.284494,2018-06-24,day,2018,6,1,presence,,"GBIF acceptedScientificName=Aedes albopictus (Skuse, 1894); source-reported human observation; GBIF taxon and occurrence fields screened",http://creativecommons.org/publicdomain/zero/1.0/legalcode,GBIF occurrence key=3444232188; occurrenceID=NIEK-NES-INS-005000000001395271; datasetKey=1e09d985-8f58-4a34-ab86-17e55f203c8a; datasetTitle=niek_2022; occurrenceStatus=PRESENT; basisOfRecord=HUMAN_OBSERVATION; identifiedBy=not reported; recordedBy=not reported; locality=not reported; exact_grid_join=no exact cell intersection; sampling effort not reported; occurrence-only presence record; not a trap-abundance denominator.,presence_only_occurrence,monthly_presence_record,source_record,not_reported,,presence_only_not_count,not_applicable,not disease risk or incidence
gbif_1946193121,GBIF:50c9509d-22c7-4a22-a47d-8c48425ef4a7,occurrence,Aedes albopictus,South Korea,South Korea,r188c1225,126.425113,36.704362,2018-07-12,day,2018,7,1,presence,,"GBIF acceptedScientificName=Aedes albopictus (Skuse, 1894); source-reported human observation; GBIF taxon and occurrence fields screened",http://creativecommons.org/licenses/by-nc/4.0/legalcode,"GBIF occurrence key=1946193121; occurrenceID=https://www.inaturalist.org/observations/14290060; datasetKey=50c9509d-22c7-4a22-a47d-8c48425ef4a7; datasetTitle=iNaturalist Research-grade Observations; occurrenceStatus=PRESENT; basisOfRecord=HUMAN_OBSERVATION; identifiedBy=haileyleroy2003; recordedBy=Kim, Hyun-tae; locality=not reported; exact_grid_join=r188c1225; sampling effort not reported; occurrence-only presence record; not a trap-abundance denominator.",presence_only_occurrence,monthly_presence_record,source_record,not_reported,,presence_only_not_count,not_applicable,not disease risk or incidence
gbif_3444217229,GBIF:1e09d985-8f58-4a34-ab86-17e55f203c8a,occurrence,Aedes albopictus,South Korea,South Korea,,129.256672,37.284494,2018-09-14,day,2018,9,1,presence,,"GBIF acceptedScientificName=Aedes albopictus (Skuse, 1894); source-reported human observation; GBIF taxon and occurrence fields screened",http://creativecommons.org/publicdomain/zero/1.0/legalcode,GBIF occurrence key=3444217229; occurrenceID=NIEK-NES-INS-005000000001395312; datasetKey=1e09d985-8f58-4a34-ab86-17e55f203c8a; datasetTitle=niek_2022; occurrenceStatus=PRESENT; basisOfRecord=HUMAN_OBSERVATION; identifiedBy=not reported; recordedBy=not reported; locality=not reported; exact_grid_join=no exact cell intersection; sampling effort not reported; occurrence-only presence record; not a trap-abundance denominator.,presence_only_occurrence,monthly_presence_record,source_record,not_reported,,presence_only_not_count,not_applicable,not disease risk or incidence
